General deg, rldeg, rrdeg, fldeg, frdeg,a,b,c,d,f,g,w,z,p,m,gg,sa,asa
1.8486930131912231,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8533815145492554,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8542406558990479,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8543825149536133,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.854513168334961,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.854513168334961,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8545408248901367,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.854724407196045,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8548369407653809,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8548369407653809,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8578177690505981,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.862916350364685,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8668240308761597,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.8835670948028564,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.9201749563217163,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.9503809213638306,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

1.9819929599761963,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0

2.005868911743164,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.0211875438690186,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.029262065887451,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.029780626296997,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.029780626296997,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.0506832599639893,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.1134696006774902,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.123476266860962,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.1292154788970947,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.1543238162994385,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.1757867336273193,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.1912710666656494,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.205536365509033,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2205817699432373,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.235973596572876,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2528133392333984,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.272101640701294,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2799930572509766,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2806801795959473,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2817420959472656,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.283949136734009,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.2954373359680176,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.312291145324707,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.320079803466797,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.335615396499634,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.351217269897461,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.358992576599121,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.362933397293091,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.3783278465270996,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.4113781452178955,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.439038038253784,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.457615613937378,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.4663774967193604,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.4737839698791504,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.4818358421325684,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.487114906311035,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.487581491470337,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.489557981491089,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.4930498600006104,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.505429983139038,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.516763210296631,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.555290937423706,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.596888780593872,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.626620054244995,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6306164264678955,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6306164264678955,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6306164264678955,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6306164264678955,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630629301071167,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630629301071167,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630629301071167,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630674362182617,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6307008266448975,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.634596347808838,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.640354871749878,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.662165403366089,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6824793815612793,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.7024571895599365,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.7231407165527344,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.724313259124756,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.7542619705200195,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.8333239555358887,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

3.0643715858459473,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0

3.3684916496276855,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0

3.5387020111083984,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0

3.559588670730591,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0

3.5684995651245117,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630783796310425,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630783796310425,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.630783796310425,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6309688091278076,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.6309688091278076,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.63102650642395,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.63102650642395,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.63102650642395,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.631387233734131,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

2.631401538848877,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0

